37.8113591,-122.4430077,37.6,0.362268285
37.8113765,-122.4429696,38.04,4.135590661
37.8113946,-122.4429315,38.04,4.135590661
37.8114132,-122.4428936,38.34,13.2272591
37.8114325,-122.4428558,38.59,22.37423776
37.8114517,-122.4428175,39.02,34.73690607
37.8114716,-122.4427795,38.9,32.16395914
37.8114918,-122.4427416,39.07,35.54095123
37.8115126,-122.4427042,39.06,35.39353056
37.811534,-122.4426672,38.83,30.28991472
37.8115559,-122.4426312,38.95,33.34080037
37.8115783,-122.4425953,39.12,36.17472884
37.8116001,-122.4425588,39.28,36.99623186
37.811622,-122.4425218,39.75,29.10733618
37.8116436,-122.4424843,39.9,24.15437778
37.8116641,-122.4424459,39.86,25.54396758
37.8116847,-122.4424072,39.97,21.64104381
37.8117056,-122.4423687,40.02,19.80524901
37.8117267,-122.4423305,39.63,32.40616535
37.8117483,-122.4422929,39.67,31.38663653
37.8117704,-122.4422559,40.06,18.32633688
37.8117925,-122.4422191,39.56,33.97269673
37.8118142,-122.442182,39.35,36.76316312
37.8118358,-122.4421447,39.35,36.76316312
37.8118571,-122.4421071,39.5,35.07546252
37.8118779,-122.4420695,39.29,36.98506579
37.811898,-122.4420315,39.31,36.94055973
37.8119177,-122.4419929,39.39,36.46894459
37.811937,-122.4419539,39.42,36.17272066
37.8119565,-122.4419149,39.49,35.23645827
37.8119761,-122.4418757,40.21,12.86721035
37.8119959,-122.4418363,39.87,25.20045154
37.8120167,-122.4417979,39.72,29.9971227
37.8120382,-122.4417598,39.83,26.55706684
37.8120603,-122.4417223,40.01,20.17404131
37.8120833,-122.4416856,40.05,18.69633065
37.8121059,-122.4416512,40.26,11.13612377
37.8121295,-122.4416146,40.86,0.013773999
37.812153,-122.4415776,40.83,0.004239529
37.8121766,-122.4415402,40.85,0.003196944
37.8122,-122.441503,41.14,3.216588102
37.8122233,-122.4414651,40.97,0.615101995
37.8122466,-122.4414273,40.89,0.08983892
37.8122694,-122.4413891,41.07,1.911473136
37.8122918,-122.4413504,41.16,3.645676492
37.8123139,-122.4413114,41.1,2.432409252
37.8123356,-122.4412719,41.06,1.75100815
37.8123567,-122.4412321,40.95,0.440226655
37.8123771,-122.4411919,40.87,0.031745298
37.812397,-122.4411512,40.69,0.833995633
37.8124168,-122.4411104,40.81,0.034871386
37.8124362,-122.4410695,40.72,0.536461347
37.8124553,-122.4410286,40.35,8.216741164
37.8124745,-122.4409877,40.63,1.618500206
37.8124937,-122.4409469,40.59,2.277235603
37.8125137,-122.4409067,40.71,0.628504307
37.8125338,-122.4408667,40.64,1.470539247
37.8125546,-122.4408277,40.31,9.478614602
37.8125761,-122.4407895,40.15,15.01724146
37.812598,-122.440752,40.09,17.21736414
37.812621,-122.4407156,40.06,18.32633688
37.8126446,-122.4406798,39.98,21.27581199
37.8126688,-122.4406448,39.83,26.55706684
37.8126935,-122.4406101,39.9,24.15437778
37.8127182,-122.4405755,40.23,12.16703891
37.8127432,-122.4405413,39.71,30.28467722
37.8127681,-122.4405066,39.87,25.20045154
37.8127929,-122.4404717,40.18,13.93400959
37.8128178,-122.4404367,40.55,3.039741331
37.8128427,-122.4404013,40.23,12.16703891
37.8128675,-122.4403662,40.25,11.47699887
